OBJECTID,extract,ncovidconf,ndischcovidconf,adcconf
1,2020/03/27 00:00:00+00,68,0,0
2,2020/03/28 00:00:00+00,80,0,0
3,2020/03/29 00:00:00+00,96,0,0
4,2020/03/30 00:00:00+00,107,0,0
5,2020/03/31 00:00:00+00,120,0,0
6,2020/04/01 00:00:00+00,128,0,0
7,2020/04/02 00:00:00+00,132,0,0
8,2020/04/03 00:00:00+00,137,0,0
9,2020/04/04 00:00:00+00,140,2,0
10,2020/04/05 00:00:00+00,139,2,0
11,2020/04/06 00:00:00+00,144,1,0
12,2020/04/07 00:00:00+00,143,6,0
13,2020/04/08 00:00:00+00,146,11,0
14,2020/04/09 00:00:00+00,151,7,0
15,2020/04/10 00:00:00+00,155,7,10
16,2020/04/11 00:00:00+00,155,7,12
17,2020/04/12 00:00:00+00,148,8,3
18,2020/04/13 00:00:00+00,143,6,2
19,2020/04/14 00:00:00+00,149,4,8
20,2020/04/15 00:00:00+00,140,12,11
21,2020/04/17 00:00:00+00,137,13,8
22,2020/04/18 00:00:00+00,134,6,7
23,2020/04/19 00:00:00+00,133,10,12
24,2020/04/20 00:00:00+00,139,7,11
25,2020/04/21 00:00:00+00,133,10,8
26,2020/04/22 00:00:00+00,131,3,8
27,2020/04/23 00:00:00+00,123,5,7
32,2020/04/30 10:45:00+00,106,,7
33,2020/05/07 18:45:00+00,76,,0
37,2020/05/08 19:00:00+00,72,,1
39,2020/05/09 19:00:00+00,72,,2
41,2020/05/10 18:45:00+00,72,,2
45,2020/05/04 18:45:00+00,91,,0
46,2020/05/05 11:00:00+00,90,,1
47,2020/05/01 18:45:05+00,99,,8
48,2020/05/02 11:15:38+00,99,,6
49,2020/05/03 11:00:00+00,93,,4
51,2020/05/06 18:45:00+00,82,,2
53,2020/04/16 10:30:00+00,142,8,11
55,2020/05/11 18:45:00+00,69,1,2
58,2020/04/24 18:45:00+00,118,7,3
59,2020/04/25 18:45:03+00,123,8,4
60,2020/04/26 18:45:00+00,120,5,5
61,2020/04/27 19:00:00+00,117,2,4
62,2020/04/28 19:00:00+00,113,5,4
63,2020/04/29 18:45:00+00,103,11,6
65,2020/05/12 19:00:00+00,67,6,1
67,2020/05/13 18:45:00+00,62,4,2
69,2020/05/14 19:00:00+00,59,4,4
71,2020/05/15 19:00:00+00,56,3,4
73,2020/05/16 19:15:00+00,54,0,3
75,2020/05/17 19:15:05+00,51,1,0
77,2020/05/18 19:00:00+00,55,1,0
79,2020/05/19 18:45:00+00,54,1,1
81,2020/05/20 19:15:00+00,49,2,1
83,2020/05/21 18:45:00+00,52,2,2
85,2020/05/22 18:45:00+00,49,1,1
87,2020/05/23 19:00:00+00,51,3,1
89,2020/05/24 19:15:00+00,49,0,0
91,2020/05/25 18:45:00+00,48,1,1
93,2020/05/26 19:00:00+00,48,2,1
95,2020/05/27 19:00:05+00,48,1,4
97,2020/05/28 19:25:00+00,45,3,1
99,2020/05/29 18:45:00+00,42,4,2
101,2020/05/30 19:00:05+00,36,2,1
103,2020/05/31 18:45:00+00,36,2,1
105,2020/06/01 18:45:00+00,37,0,2
